from,to,vote,relationship,year,weight
Gianluigi Donnarumma,Kylian Mbappé,3,2,2023,NA
Gianluigi Donnarumma,Erling Haaland,1,4,2023,NA
Gianluigi Donnarumma,Lionel Messi,5,4,2024,NA
Gianluigi Donnarumma,Kylian Mbappé,3,4,2024,NA
Gianluigi Donnarumma,Vinícius Jr,1,4,2024,NA
Gennaro Gattuso,Kylian Mbappé,5,4,2025,NA
Gennaro Gattuso,Vitinha,3,4,2025,NA
Gennaro Gattuso,Mohamed Salah,1,4,2025,NA
Pierluigi Pardo,Ousmane Dembélé,5,4,2025,NA
Pierluigi Pardo,Lamine Yamal,3,4,2025,NA
Pierluigi Pardo,Mohamed Salah,1,4,2025,NA
Pierluigi Pardo,Erling Haaland,5,4,2023,NA
Pierluigi Pardo,Rodri,3,4,2023,NA
Pierluigi Pardo,Victor Osimhen,1,4,2023,NA
Pierluigi Pardo,Rodri,5,4,2024,NA
Pierluigi Pardo,Vinícius Jr,3,4,2024,NA
Pierluigi Pardo,Lamine Yamal,1,4,2024,NA
Luciano Spalletti,Lionel Messi,5,4,2023,NA
Luciano Spalletti,Kylian Mbappé,3,4,2023,NA
Luciano Spalletti,Victor Osimhen,1,4,2023,NA
Luciano Spalletti,Toni Kroos,5,4,2024,NA
Luciano Spalletti,Jude Bellingham,3,4,2024,NA
Luciano Spalletti,Lionel Messi,1,4,2024,NA
James Rodríguez,Ousmane Dembélé,5,4,2025,NA
James Rodríguez,Kylian Mbappé,3,4,2025,NA
James Rodríguez,Lamine Yamal,1,4,2025,NA
James Rodríguez,Vinícius Jr,5,4,2024,NA
James Rodríguez,Dani Carvajal,3,4,2024,NA
James Rodríguez,Jude Bellingham,1,4,2024,NA
Néstor Lorenzo,Harry Kane,5,4,2025,NA
Néstor Lorenzo,Vitinha,3,4,2025,NA
Néstor Lorenzo,Ousmane Dembélé,1,4,2025,NA
Néstor Lorenzo,Lionel Messi,5,4,2023,NA
Néstor Lorenzo,Marcelo Brozović,3,4,2023,NA
Néstor Lorenzo,Rodri,1,4,2023,NA
Néstor Lorenzo,Lionel Messi,5,4,2024,NA
Néstor Lorenzo,Jude Bellingham,3,4,2024,NA
Néstor Lorenzo,Vinícius Jr,1,4,2024,NA
Diego Rueda ,Ousmane Dembélé,5,4,2025,NA
Diego Rueda ,Lamine Yamal,3,4,2025,NA
Diego Rueda ,Vitinha,1,4,2025,NA
Diego Rueda,Erling Haaland,5,4,2023,NA
Diego Rueda,Kevin De Bruyne,3,4,2023,NA
Diego Rueda,Rodri,1,4,2023,NA
Diego Rueda ,Rodri,5,4,2024,NA
Diego Rueda ,Vinícius Jr,3,4,2024,NA
Diego Rueda ,Lamine Yamal,1,4,2024,NA
Radamel Falcao Garcia Zarate,Lionel Messi,5,4,2023,NA
Radamel Falcao Garcia Zarate,Kylian Mbappé,3,4,2023,NA
Radamel Falcao Garcia Zarate,Bernardo Silva,1,4,2023,NA
Tim Ream,Ousmane Dembélé,5,4,2025,NA
Tim Ream,Kylian Mbappé,3,4,2025,NA
Tim Ream,Nuno Mendes,1,4,2025,NA
Tim Ream,Rodri,5,4,2024,NA
Tim Ream,Vinícius Jr,3,4,2024,NA
Tim Ream,Jude Bellingham,1,4,2024,NA
Mauricio Pochettino,Ousmane Dembélé,5,4,2025,NA
Mauricio Pochettino,Kylian Mbappé,3,4,2025,NA
Mauricio Pochettino,Harry Kane,1,4,2025,NA
Mauricio Pochettino,Lionel Messi,5,4,2024,NA
Mauricio Pochettino,Rodri,3,4,2024,NA
Mauricio Pochettino,Vinícius Jr,1,4,2024,NA
Douglas Mcintyre,Lamine Yamal,5,4,2025,NA
Douglas Mcintyre,Ousmane Dembélé,3,4,2025,NA
Douglas Mcintyre,Raphinha,1,4,2025,NA
Douglas Mcintyre,Erling Haaland,5,4,2023,NA
Douglas Mcintyre,Lionel Messi,3,4,2023,NA
Douglas Mcintyre,Kylian Mbappé,1,4,2023,NA
Douglas Mcintyre,Jude Bellingham,5,4,2024,NA
Douglas Mcintyre,Rodri,3,4,2024,NA
Douglas Mcintyre,Vinícius Jr,1,4,2024,NA
Christian Mate Pulisic,Lionel Messi,5,4,2023,NA
Christian Mate Pulisic,Kylian Mbappé,3,4,2023,NA
Christian Mate Pulisic,Erling Haaland,1,4,2023,NA
Gregg Berhalter,Rodri,5,4,2023,NA
Gregg Berhalter,Erling Haaland,3,4,2023,NA
Gregg Berhalter,Lionel Messi,1,4,2023,NA
Edson Omar Alvarez Velazquez,Ousmane Dembélé,5,4,2025,NA
Edson Omar Alvarez Velazquez,Harry Kane,3,4,2025,NA
Edson Omar Alvarez Velazquez,Kylian Mbappé,1,4,2025,NA
Edson Omar Alvarez Velazquez,Vinícius Jr,5,4,2024,NA
Edson Omar Alvarez Velazquez,Rodri,3,4,2024,NA
Edson Omar Alvarez Velazquez,Erling Haaland,1,4,2024,NA
Javier Aguirre,Kylian Mbappé,5,4,2025,NA
Javier Aguirre,Mohamed Salah,3,4,2025,NA
Javier Aguirre,Achraf Hakimi,1,4,2025,NA
Javier Aguirre,Lionel Messi,5,4,2024,NA
Javier Aguirre,Rodri,3,4,2024,NA
Javier Aguirre,Lamine Yamal,1,4,2024,NA
Francisco Javier González,Ousmane Dembélé,5,4,2025,NA
Francisco Javier González,Vitinha,3,4,2025,NA
Francisco Javier González,Lamine Yamal,1,4,2025,NA
Francisco Javier González,Erling Haaland,5,4,2023,NA
Francisco Javier González,Bernardo Silva,3,4,2023,NA
Francisco Javier González,Kevin De Bruyne,1,4,2023,NA
Francisco Javier González,Vinícius Jr,5,4,2024,NA
Francisco Javier González,Rodri,3,4,2024,NA
Francisco Javier González,Dani Carvajal,1,4,2024,NA
Guillermo Ochoa,Lionel Messi,5,4,2023,NA
Guillermo Ochoa,Kylian Mbappé,3,4,2023,NA
Guillermo Ochoa,Erling Haaland,1,4,2023,NA
Jaime Arturo Lozano Espin,Erling Haaland,5,4,2023,NA
Jaime Arturo Lozano Espin,Julián Álvarez,3,4,2023,NA
Jaime Arturo Lozano Espin,İlkay Gündoğan,1,4,2023,NA
Jose Gimenez,Ousmane Dembélé,5,4,2025,NA
Jose Gimenez,Vitinha,3,4,2025,NA
Jose Gimenez,Raphinha,1,4,2025,NA
Jose Gimenez,Federico Valverde,5,1,2024,NA
Jose Gimenez,Rodri,3,4,2024,NA
Jose Gimenez,Erling Haaland,1,4,2024,NA
Marcelo Bielsa,Kylian Mbappé,5,4,2025,NA
Marcelo Bielsa,Raphinha,3,4,2025,NA
Marcelo Bielsa,Pedri,1,4,2025,NA
Marcelo Bielsa,Lionel Messi,5,4,2023,NA
Marcelo Bielsa,Erling Haaland,3,4,2023,NA
Marcelo Bielsa,İlkay Gündoğan,1,4,2023,NA
Marcelo Bielsa,Lionel Messi,5,4,2024,NA
Marcelo Bielsa,Rodri,3,4,2024,NA
Marcelo Bielsa,Federico Valverde,1,1,2024,NA
Rómulo Martínez Chenlo,Lamine Yamal,5,4,2025,NA
Rómulo Martínez Chenlo,Vitinha,3,4,2025,NA
Rómulo Martínez Chenlo,Achraf Hakimi,1,4,2025,NA
Rómulo Martínez Chenlo,Lionel Messi,5,4,2023,NA
Rómulo Martínez Chenlo,Erling Haaland,3,4,2023,NA
Rómulo Martínez Chenlo,Declan Rice,1,4,2023,NA
Rómulo Martínez Chenlo,Federico Valverde,5,1,2024,NA
Rómulo Martínez Chenlo,Lamine Yamal,3,4,2024,NA
Rómulo Martínez Chenlo,Vinícius Jr,1,4,2024,NA
