from,to,vote,relationship,year
Robert Matteoni,Marcelo Brozović,1,1,2023
Robert Matteoni,Rodri,5,4,2024
Robert Matteoni,Vinícius Jr,3,4,2024
Robert Matteoni,Toni Kroos,1,4,2024
Achraf Hakimi,Kylian Mbappé,5,4,2025
Achraf Hakimi,Ousmane Dembélé,3,2,2025
Achraf Hakimi,Raphinha,1,4,2025
Achraf Hakimi,Kylian Mbappé,5,4,2024
Achraf Hakimi,Vinícius Jr,3,4,2024
Achraf Hakimi,Rodri,1,4,2024
Hoalid Regragui,Achraf Hakimi,5,1,2025
Hoalid Regragui,Ousmane Dembélé,3,4,2025
Hoalid Regragui,Lamine Yamal,1,4,2025
Hoalid Regragui,Erling Haaland,5,4,2023
Hoalid Regragui,Lionel Messi,3,4,2023
Hoalid Regragui,Kylian Mbappé,1,4,2023
Jalal Bounouar,Achraf Hakimi,5,1,2025
Jalal Bounouar,Ousmane Dembélé,3,4,2025
Jalal Bounouar,Kylian Mbappé,1,4,2025
Walid Regragui,Vinícius Jr,5,4,2024
Walid Regragui,Rodri,3,4,2024
Walid Regragui,Toni Kroos,1,4,2024
Romain Ghanem Saiss,Erling Haaland,5,4,2023
Romain Ghanem Saiss,Kylian Mbappé,3,4,2023
Romain Ghanem Saiss,Lionel Messi,1,4,2023
Jalal Bouzrara,Erling Haaland,5,4,2023
Jalal Bouzrara,Victor Osimhen,3,4,2023
Jalal Bouzrara,Bernardo Silva,1,4,2023
Jalal Bouzrara,Vinícius Jr,5,4,2024
Jalal Bouzrara,Lamine Yamal,3,4,2024
Jalal Bouzrara,Rodri,1,4,2024
Gianluigi Donnarumma,Ousmane Dembélé,5,2,2025
Gianluigi Donnarumma,Achraf Hakimi,3,2,2025
Gianluigi Donnarumma,Lamine Yamal,1,4,2025
Gianluigi Donnarumma,Lionel Messi,5,2,2023
Gianluigi Donnarumma,Kylian Mbappé,3,2,2023
Gianluigi Donnarumma,Erling Haaland,1,4,2023
Gianluigi Donnarumma,Lionel Messi,5,4,2024
Gianluigi Donnarumma,Kylian Mbappé,3,4,2024
Gianluigi Donnarumma,Vinícius Jr,1,4,2024
Gennaro Gattuso,Kylian Mbappé,5,4,2025
Gennaro Gattuso,Vitinha,3,4,2025
Gennaro Gattuso,Mohamed Salah,1,4,2025
Pierluigi Pardo,Ousmane Dembélé,5,4,2025
Pierluigi Pardo,Lamine Yamal,3,4,2025
Pierluigi Pardo,Mohamed Salah,1,4,2025
Pierluigi Pardo,Erling Haaland,5,4,2023
Pierluigi Pardo,Rodri,3,4,2023
Pierluigi Pardo,Victor Osimhen,1,4,2023
Pierluigi Pardo,Rodri,5,4,2024
Pierluigi Pardo,Vinícius Jr,3,4,2024
Pierluigi Pardo,Lamine Yamal,1,4,2024
Luciano Spalletti,Lionel Messi,5,4,2023
Luciano Spalletti,Kylian Mbappé,3,4,2023
Luciano Spalletti,Victor Osimhen,1,4,2023
Luciano Spalletti,Toni Kroos,5,4,2024
Luciano Spalletti,Jude Bellingham,3,4,2024
Luciano Spalletti,Lionel Messi,1,4,2024
James Rodríguez,Ousmane Dembélé,5,4,2025
James Rodríguez,Kylian Mbappé,3,4,2025
James Rodríguez,Lamine Yamal,1,4,2025
James Rodríguez,Vinícius Jr,5,4,2024
James Rodríguez,Dani Carvajal,3,4,2024
James Rodríguez,Jude Bellingham,1,4,2024
Néstor Lorenzo,Harry Kane,5,4,2025
Néstor Lorenzo,Vitinha,3,4,2025
Néstor Lorenzo,Ousmane Dembélé,1,4,2025
Néstor Lorenzo,Lionel Messi,5,4,2023
Néstor Lorenzo,Marcelo Brozović,3,4,2023
Néstor Lorenzo,Rodri,1,4,2023
