id;name;role;country;club
300;Paolo Nicolato;2;Latvia;NA
301;Miodrag Radulovic;2;Lebanon;NA
302;Leslie Notsi;2;Lesotho;NA
303;Alejo Cissé;2;Libya;NA
304;Konrad Fünfstück;2;Liechtenstein;NA
305;Edgaras Jankauskas;2;Lithuania;NA
306;Jeff Strasser;2;Luxembourg;NA
307;Kenneth Kar Lok Kwok;2;Macau;NA
308;Corentin Martins;2;Madagascar;NA
309;Kalisto Pasuwa;2;Malawi;NA
310;Peter Cklamovski;2;Malaysia;NA
311;Mohamed Siyaz;2;Maldives;NA
312;Tom Saintfiet;2;Mali;NA
313;Emilio De Leo;2;Malta;NA
314;Aritz López Garay;2;Mauritania;NA
315;Guillaume Moullec;2;Mauritius;NA
316;Javier Aguirre Onaindia;2;Mexico;NA
317;Lilian Popescu;2;Moldova;NA
318;Garidmagnai Bayasgalan;2;Mongolia;NA
319;Mirko Vu?ini?;2;Montenegro;NA
320;Angus Eve;2;Montserrat;NA
321;Hoalid Regragui;2;Morocco;NA
322;Francisco Queriol Conde Junior;2;Mozambique;NA
323;Myo Hlaing Win;2;Myanmar;NA
324;Collin Benjamin;2;Namibia;NA
325;Hari Khadka;2;Nepal;NA
326;Ronald Koeman;2;Netherlands;NA
327;Johan Sidaner;2;New Caledonia;NA
328;Darren Bazeley;2;New Zealand;NA
329;Marco Figueroamontero;2;Nicaragua;NA
330;Zakariaou Ibrahim;2;Niger;NA
331;Blagoja Milevski;2;North Macedonia;NA
332;Michael Oneill;2;Northern Ireland;NA
333;Ståle Solbakken;2;Norway;NA
334;Carlos Queiroz;2;Oman;NA
335;Nolberto Albino Solano Todco;2;Pakistan;NA
336;Ehab Abu Jazar;2;Palestine;NA
337;Thomas Christiansen Tarin;2;Panama;NA
338;David Muta;2;Papua New Guinea;NA
339;Gustavo Alfaro;2;Paraguay;NA
340;Manuel Barreto;2;Peru;NA
341;Carles Cuadrat;2;Philippines;NA
342;Jan Urban;2;Poland;NA
343;Roberto Martinez;2;Portugal;NA
344;Charlie Trout;2;Puerto Rico;NA
345;Julen Lopetegui;2;Qatar;NA
346;Heimir Hallgrimsson;2;Republic of Ireland;NA
347;Mircea Lucescu;2;Romania;NA
348;Valeri Karpin;2;Russia;NA
349;Adel Amrouche;2;Rwanda;NA
350;Valerio Raccuglia;2;Samoa;NA
351;Roberto Cevoli;2;San Marino;NA
352;Ricardo Monsanto;2;São Tomé and Príncipe;NA
353;Hervé Renard;2;Saudi Arabia;NA
354;Steve Clarke;2;Scotland;NA
355;Pape Bouna Thiaw;2;Senegal;NA
356;Veljko Paunovic;2;Serbia;NA
357;Ralph Jean-Louis;2;Seychelles;NA
358;Mohamed Kallon;2;Sierra Leone;NA
359;Gavin Lee;2;Singapore;NA
360;Francesco Calzona;2;Slovakia;NA
361;Kek Matjaz;2;Slovenia;NA
362;Josh Smith;2;Solomon Islands;NA
363;Yusuf Ali;2;Somalia;NA
364;Hugo Broos;2;South Africa;NA
365;Simon James Yor Kak;2;South Sudan;NA
366;Luis De La Fuente Castillo;2;Spain;NA
367;Abdullah Almutairi;2;Sri Lanka;NA
368;Travis Rogers;2;St Kitts and Nevis;NA
369;Stern John;2;St Lucia;NA
370;Ezra Hendrickson;2;St Vincent and the Grenadines;NA
371;James Appiah;2;Sudan;NA
372;Stanley Menzo;2;Suriname;NA
373;Graham Potter;2;Sweden;NA
374;Murat Yakin;2;Switzerland;NA
375;Jose Lana Fernández;2;Syria;NA
376;Raimana Buluc;2;Tahiti;NA
377;Goran Stevanovic;2;Tajikistan;NA
378;Miguel Angel Gamondi;2;Tanzania;NA
379;Anthony Hudson;2;Thailand;NA
380;José Pedro Alves Salazar;2;Timor-Leste;NA
381;Daré Nibombe;2;Togo;NA
382;Kilifi Solia Uele;2;Tonga;NA
383;Dwight Yorke;2;Trinidad and Tobago;NA
384;Trabelsi Sami;2;Tunisia;NA
385;Vincenzo Montella;2;Türkiye;NA
386;Rovshen Meredov;2;Turkmenistan;NA
387;Aaron Lawrence;2;Turks and Caicos Islands;NA
388;Put Paul Joseph F;2;Uganda;NA
389;Serhii Rebrov;2;Ukraine;NA
390;Olaroiu Cosmin;2;United Arab Emirates;NA
391;Marcelo Bielsa;2;Uruguay;NA
392;Terrence Jones;2;US Virgin Islands;NA
393;Mauricio Pochettino;2;USA;NA
394;Fabio Cannavaro;2;Uzbekistan;NA
395;Lars Hopp;2;Vanuatu;NA
396;Oswaldo Vizcarrondo;2;Venezuela;NA
397;Sang Sik Kim;2;Vietnam;NA
398;Noureddine Ould Ali;2;Yemen;NA
399;Moses Sichone;2;Zambia;NA
400;Mario Marinica;2;Zimbabwe;NA
401;Sayer Zaland;3;Afghanistan;NA
402;Endi Tufa;3;Albania;NA
403;Mohammed Rachid Belarbi;3;Algeria;NA
404;Victor Duaso Saludas;3;Andorra;NA
405;Geraldo Quiala;3;Angola;NA
406;Claudio Mauri;3;Argentina;NA
407;Robert Gasparyan;3;Armenia;NA
408;Andrew Vrolijk;3;Aruba;NA
