name,role,country,club
Talgat Baisufinov,2,Kazakhstan,NA
Benni Mccarthy,2,Kenya,NA
Yun Jong Su,2,Korea DPR,NA
Myung Bo Hong,2,Korea Republic,NA
Franco Foda,2,Kosovo,NA
Hélio Filipe Dias De Sousa,2,Kuwait,NA
Urmat Abdukaimov,2,Kyrgyz Republic,NA
Hyeokjun Ha,2,Laos,NA
Paolo Nicolato,2,Latvia,NA
Miodrag Radulovic,2,Lebanon,NA
Leslie Notsi,2,Lesotho,NA
Alejo Cissé,2,Libya,NA
Konrad Fünfstück,2,Liechtenstein,NA
Edgaras Jankauskas,2,Lithuania,NA
Jeff Strasser,2,Luxembourg,NA
Kenneth Kar Lok Kwok,2,Macau,NA
Corentin Martins,2,Madagascar,NA
Kalisto Pasuwa,2,Malawi,NA
Peter Cklamovski,2,Malaysia,NA
Mohamed Siyaz,2,Maldives,NA
Tom Saintfiet,2,Mali,NA
Emilio De Leo,2,Malta,NA
Aritz López Garay,2,Mauritania,NA
Guillaume Moullec,2,Mauritius,NA
Javier Aguirre Onaindia,2,Mexico,NA
Lilian Popescu,2,Moldova,NA
Garidmagnai Bayasgalan,2,Mongolia,NA
Mirko Vučinić,2,Montenegro,NA
Angus Eve,2,Montserrat,NA
Hoalid Regragui,2,Morocco,NA
Francisco Queriol Conde Junior,2,Mozambique,NA
Myo Hlaing Win,2,Myanmar,NA
Collin Benjamin,2,Namibia,NA
Hari Khadka,2,Nepal,NA
Ronald Koeman,2,Netherlands,NA
Johan Sidaner,2,New Caledonia,NA
Darren Bazeley,2,New Zealand,NA
Marco Figueroamontero,2,Nicaragua,NA
Zakariaou Ibrahim,2,Niger,NA
Blagoja Milevski,2,North Macedonia,NA
Michael Oneill,2,Northern Ireland,NA
Ståle Solbakken,2,Norway,NA
Carlos Queiroz,2,Oman,NA
Nolberto Albino Solano Todco,2,Pakistan,NA
Ehab Abu Jazar,2,Palestine,NA
Thomas Christiansen Tarin,2,Panama,NA
David Muta,2,Papua New Guinea,NA
Gustavo Alfaro,2,Paraguay,NA
Manuel Barreto,2,Peru,NA
Carles Cuadrat,2,Philippines,NA
Jan Urban,2,Poland,NA
Roberto Martinez,2,Portugal,NA
Charlie Trout,2,Puerto Rico,NA
Julen Lopetegui,2,Qatar,NA
Heimir Hallgrimsson,2,Republic of Ireland,NA
Mircea Lucescu,2,Romania,NA
Valeri Karpin,2,Russia,NA
Adel Amrouche,2,Rwanda,NA
Valerio Raccuglia,2,Samoa,NA
Roberto Cevoli,2,San Marino,NA
Ricardo Monsanto,2,São Tomé and Príncipe,NA
Hervé Renard,2,Saudi Arabia,NA
Steve Clarke,2,Scotland,NA
Pape Bouna Thiaw,2,Senegal,NA
Veljko Paunovic,2,Serbia,NA
Ralph Jean-Louis,2,Seychelles,NA
Mohamed Kallon,2,Sierra Leone,NA
Gavin Lee,2,Singapore,NA
Francesco Calzona,2,Slovakia,NA
Kek Matjaz,2,Slovenia,NA
Josh Smith,2,Solomon Islands,NA
Yusuf Ali,2,Somalia,NA
Hugo Broos,2,South Africa,NA
Simon James Yor Kak,2,South Sudan,NA
Luis De La Fuente Castillo,2,Spain,NA
Abdullah Almutairi,2,Sri Lanka,NA
Travis Rogers,2,St Kitts and Nevis,NA
Stern John,2,St Lucia,NA
Ezra Hendrickson,2,St Vincent and the Grenadines,NA
James Appiah,2,Sudan,NA
Stanley Menzo,2,Suriname,NA
Graham Potter,2,Sweden,NA
Murat Yakin,2,Switzerland,NA
Jose Lana Fernández,2,Syria,NA
Raimana Buluc,2,Tahiti,NA
Goran Stevanovic,2,Tajikistan,NA
