from,to,vote,relationship,year,weight
Pape Bouna Thiaw,Ousmane Dembélé,5,4,2025,NA
Veljko Paunovic,Kylian Mbappé,5,4,2025,NA
Ralph Jean-Louis,Ousmane Dembélé,5,4,2025,NA
Mohamed Kallon,Ousmane Dembélé,5,4,2025,NA
Gavin Lee,Ousmane Dembélé,5,4,2025,NA
Francesco Calzona,Vitinha,5,4,2025,NA
Matjaž Kek,Ousmane Dembélé,5,4,2025,NA
Josh Smith,Lamine Yamal,5,4,2025,NA
Yusuf Ali,Ousmane Dembélé,5,4,2025,NA
Hugo Broos,Harry Kane,5,4,2025,NA
Simon James Yor Kak,Achraf Hakimi,5,4,2025,NA
Luis De La Fuente Castillo,Pedri,5,1,2025,NA
Abdullah Almutairi,Raphinha,5,4,2025,NA
Travis Rogers,Lamine Yamal,5,4,2025,NA
Stern John,Ousmane Dembélé,5,4,2025,NA
Ezra Hendrickson,Ousmane Dembélé,5,4,2025,NA
James Appiah,Achraf Hakimi,5,4,2025,NA
Stanley Menzo,Ousmane Dembélé,5,4,2025,NA
Graham Potter,Ousmane Dembélé,5,4,2025,NA
Murat Yakin,Lamine Yamal,5,4,2025,NA
Jose Lana Fernández,Ousmane Dembélé,5,4,2025,NA
Raimana Buluc,Ousmane Dembélé,5,4,2025,NA
Goran Stevanovic,Ousmane Dembélé,5,4,2025,NA
Miguel Angel Gamondi,Lamine Yamal,5,4,2025,NA
Anthony Hudson,Lamine Yamal,5,4,2025,NA
José Pedro Alves Salazar,Ousmane Dembélé,5,4,2025,NA
Dare Nibombe,Ousmane Dembélé,5,4,2025,NA
Kilifi Solia Uele,Pedri,5,4,2025,NA
Dwight Yorke,Mohamed Salah,5,4,2025,NA
Trabelsi Sami,Achraf Hakimi,5,4,2025,NA
Vincenzo Montella,Pedri,5,4,2025,NA
Rovshen Meredov,Ousmane Dembélé,5,4,2025,NA
Aaron Lawrence,Harry Kane,5,4,2025,NA
Paul Put,Kylian Mbappé,5,4,2025,NA
Serhii Rebrov,Kylian Mbappé,5,4,2025,NA
Olaroiu Cosmin,Vitinha,5,4,2025,NA
Marcelo Bielsa,Kylian Mbappé,5,4,2025,NA
Terrence Jones,Ousmane Dembélé,5,4,2025,NA
Mauricio Pochettino,Ousmane Dembélé,5,4,2025,NA
Fabio Cannavaro,Ousmane Dembélé,5,4,2025,NA
Lars Hopp,Harry Kane,5,4,2025,NA
