from;to;weight;relationship;year;;
Yun Jong Su;   Harry Kane ;5;4;2025;;
Myung Bo Hong;Ousmane Dembélé;5;4;2025;;
Franco Foda;Ousmane Dembélé;5;4;2025;;
Hélio Filipe Dias De Sousa;    Vitinha ;5;4;2025;;
Urmat Abdukaimov;Ousmane Dembélé;5;4;2025;;
Hyeokjun Ha;Ousmane Dembélé;5;4;2025;;
Paolo Nicolato;   Harry Kane ;5;4;2025;;
Miodrag Radulovic;Ousmane Dembélé;5;4;2025;;
Leslie Notsi;Ousmane Dembélé;5;4;2025;;
Alejo Cissé;Mohamed Salah;5;4;2025;;
Konrad Fünfstück;Ousmane Dembélé;5;4;2025;;
Edgaras Jankauskas; Kylian Mbappé ;5;4;2025;;
Jeff Strasser;Ousmane Dembélé;5;4;2025;;
Kenneth Kar Lok Kwok;  Achraf Hakimi ;5;4;2025;;
Corentin Martins;Ousmane Dembélé;5;4;2025;;
Kalisto Pasuwa;  Achraf Hakimi ;5;4;2025;;
Peter Cklamovski;  Harry Kane ;5;4;2025;;
Mohamed Siyaz;Ousmane Dembélé;5;4;2025;;
Tom Saintfiet;  Achraf Hakimi ;5;4;2025;;
Emilio De Leo;Ousmane Dembélé;5;4;2025;;
Aritz López Garay;Ousmane Dembélé;5;4;2025;;
Guillaume Moullec;  Nuno Mendes ;5;4;2025;;
Javier Aguirre Onaindia; Kylian Mbappé ;5;4;2025;;
Lilian Popescu;  Nuno Mendes ;5;4;2025;;
Garidmagnai Bayasgalan;   Vitinha ;5;4;2025;;
Mirko Vučinić; Kylian Mbappé ;5;4;2025;;
Angus Eve;  Lamine Yamal ;5;4;2025;;
Hoalid Regragui;  Achraf Hakimi ;5;1;2025;;
Francisco Queriol Conde Junior;Ousmane Dembélé;5;4;2025;;
Myo Hlaing Win;  Achraf Hakimi ;5;4;2025;;
Collin Benjamin;  Achraf Hakimi ;5;4;2025;;
Hari Khadka;Ousmane Dembélé;5;4;2025;;
Ronald Koeman;Ousmane Dembélé;5;4;2025;;
Johan Sidaner;   Vitinha ;5;4;2025;;
Darren Bazeley;Ousmane Dembélé;5;4;2025;;
Marco Figueroamontero;Ousmane Dembélé;5;4;2025;;
Zakariaou Ibrahim;  Achraf Hakimi ;5;4;2025;;
Blagoja Milevski;Ousmane Dembélé;5;4;2025;;
Michael Oneill;Ousmane Dembélé;5;4;2025;;
Ståle Solbakken;   Vitinha ;5;4;2025;;
Carlos Queiroz;   Vitinha ;5;4;2025;;
Nolberto Albino Solano Todco;   Vitinha ;5;4;2025;;
Ehab Abu Jazar; Mohamed Salah ;5;4;2025;;
Thomas Christiansen Tarin;Ousmane Dembélé;5;4;2025;;
David Muta; Mohamed Salah ;5;4;2025;;
Gustavo Alfaro;Ousmane Dembélé;5;4;2025;;
Manuel Barreto;Ousmane Dembélé;5;4;2025;;
Carles Cuadrat;  Lamine Yamal ;5;4;2025;;
Jan Urban;   Harry Kane ;5;4;2025;;
Roberto Martinez;  Nuno Mendes ;5;1;2025;;
Charlie Trout;    Vitinha ;5;4;2025;;
Julen Lopetegui;    Vitinha ;5;4;2025;;
Heimir Hallgrimsson; Mohamed Salah ;5;4;2025;;
Mircea Lucescu;   Harry Kane ;5;4;2025;;
Valeri Karpin;    Vitinha ;5;4;2025;;
Adel Amrouche;  Achraf Hakimi ;5;4;2025;;
Valerio Raccuglia;  Achraf Hakimi ;5;4;2025;;
Roberto Cevoli;  Lamine Yamal ;5;4;2025;;
Ricardo Monsanto;  Achraf Hakimi ;5;4;2025;;
Hervé Renard;  Lamine Yamal ;5;4;2025;;
Steve Clarke;Ousmane Dembélé;5;4;2025;;
Pape Bouna Thiaw;Ousmane Dembélé;5;4;2025;;
Veljko Paunovic;  Kylian Mbappé ;5;4;2025;;
Ralph Jean-Louis;Ousmane Dembélé;5;4;2025;;
Mohamed Kallon;Ousmane Dembélé;5;4;2025;;
Gavin Lee;Ousmane Dembélé;5;4;2025;;
Francesco Calzona;    Vitinha ;5;4;2025;;
Kek Matjaz;Ousmane Dembélé;5;4;2025;;
Josh Smith;  Lamine Yamal ;5;4;2025;;
Yusuf Ali;Ousmane Dembélé;5;4;2025;;
Hugo Broos;   Harry Kane ;5;4;2025;;
Simon James Yor Kak;  Achraf Hakimi ;5;4;2025;;
Luis De La Fuente Castillo;    Pedri ;5;1;2025;;
Abdullah Almutairi;   Raphinha  ;5;4;2025;;
Travis Rogers;  Lamine Yamal ;5;4;2025;;
Stern John;Ousmane Dembélé;5;4;2025;;
Ezra Hendrickson;Ousmane Dembélé;5;4;2025;;
James Appiah;Achraf Hakimi;5;4;2025;;
Stanley Menzo; Ousmane Dembélé;5;4;2025;;
Graham Potter; Ousmane Dembélé;5;4;2025;;
Murat Yakin;  Lamine Yamal ;5;4;2025;;
Jose Lana Fernández; Ousmane Dembélé;5;4;2025;;
Raimana Buluc; Ousmane Dembélé;5;4;2025;;
Goran Stevanovic; Ousmane Dembélé;5;4;2025;;
Miguel Angel Gamondi;  Lamine Yamal ;5;4;2025;;
Anthony Hudson;  Lamine Yamal ;5;4;2025;;
José Pedro Alves Salazar; Ousmane Dembélé;5;4;2025;;
Daré Nibombe; Ousmane Dembélé;5;4;2025;;
Kilifi Solia Uele;    Pedri ;5;4;2025;;
Dwight Yorke; Mohamed Salah ;5;4;2025;;
Trabelsi Sami;  Achraf Hakimi ;5;4;2025;;
Vincenzo Montella;    Pedri ;5;4;2025;;
Rovshen Meredov; Ousmane Dembélé;5;4;2025;;
Aaron Lawrence;   Harry Kane ;5;4;2025;;
Put Paul Joseph F;  Kylian Mbappé ;5;4;2025;;
Serhii Rebrov;  Kylian Mbappé ;5;4;2025;;
Olaroiu Cosmin;    Vitinha ;5;4;2025;;
Marcelo Bielsa;  Kylian Mbappé ;5;4;2025;;
Terrence Jones; Ousmane Dembélé;5;4;2025;;
Mauricio Pochettino; Ousmane Dembélé;5;4;2025;;
Fabio Cannavaro; Ousmane Dembélé;5;4;2025;;
Lars Hopp;   Harry Kane ;5;4;2025;;
Oswaldo Vizcarrondo; Ousmane Dembélé;5;4;2025;;
Sang Sik Kim;   Cole Palmer ;5;4;2025;;
Noureddine Ould Ali;  Achraf Hakimi ;5;4;2025;;
Moses Sichone; Ousmane Dembélé;5;4;2025;;
Mario Marinica;   Harry Kane ;5;4;2025;;
Sayer Zaland; Ousmane Dembélé;5;4;2025;;
Endi Tufa; Ousmane Dembélé;5;4;2025;;
Mohammed Rachid Belarbi;   Raphinha ;5;4;2025;;
Victor Duaso Saludas;  Lamine Yamal ;5;4;2025;;
Geraldo Quiala;Lamine Yamal;5;4;2025;;
Claudio Mauri;  Lamine Yamal ;5;4;2025;;
Robert Gasparyan;   Raphinha ;5;4;2025;;
Andrew Vrolijk;Ousmane Dembélé;5;4;2025;;
Vince Rugari;  Harry Kane ;5;4;2025;;
Stefan Grüneis;Ousmane Dembélé;5;4;2025;;
Rasim Mövsümov;Ousmane Dembélé;5;4;2025;;
Abdulla Ashoor; Mohamed Salah ;5;4;2025;;
Zaman Rejwan Uz;Ousmane Dembélé;5;4;2025;;
Sergey Nikolaev;Ousmane Dembélé;5;4;2025;;
Terreur Kristof;  Lamine Yamal ;5;4;2025;;
Mehluli Sibanda;Ousmane Dembélé;5;4;2025;;
Thinley Namgay;Ousmane Dembélé;5;4;2025;;
Rainer Durán Urquizu; Kylian Mbappé ;5;4;2025;;
Emir Delić;  Lamine Yamal ;5;4;2025;;
Gaone Pearl Kerileng;Ousmane Dembélé;5;4;2025;;
Carlos Eduardo Mansur;  Lamine Yamal ;5;4;2025;;
Boyan Boychev;Ousmane Dembélé;5;4;2025;;
Siriki Dramé;  Achraf Hakimi ;5;4;2025;;
Liliane Nshimirimana;Ousmane Dembélé;5;4;2025;;
Chamroeun Ung;Ousmane Dembélé;5;4;2025;;
Angu Lesley Ngwa Akonwi;Ousmane Dembélé;5;4;2025;;
Neil Davidson;Ousmane Dembélé;5;4;2025;;
Bienvenu Elie Gbelo; Kylian Mbappé ;5;4;2025;;
Salahadine Mahamat Sabour;Ousmane Dembélé;5;4;2025;;
Danilo Díaz;    Vitinha ;5;4;2025;;
Dexing Ma;Ousmane Dembélé;5;4;2025;;
Chihwei Hung;Ousmane Dembélé;5;4;2025;;
Fernando Diego Rueda Medina;Ousmane Dembélé;5;4;2025;;
Elie-Dine Djouma;Ousmane Dembélé;5;4;2025;;
Michel Tobo;   Raphinha ;5;4;2025;;
Rashneel Kumar Madhur;Ousmane Dembélé;5;4;2025;;
David Goldberg;Ousmane Dembélé;5;4;2025;;
Malick Traoré;Ousmane Dembélé;5;4;2025;;
Robert Matteoni;Ousmane Dembélé;5;4;2025;;
Yasiel Cancio; Ousmane Dembélé;5;4;2025;;
Carl Ruiter; Ousmane Dembélé;5;4;2025;;
Andreas Violaris;    Vitinha ;5;4;2025;;
Jan Palička;  Lamine Yamal ;5;4;2025;;
Klaus Egelund; Mohamed Salah ;5;4;2025;;
Yacin Ahmed Moussa; Ousmane Dembélé;5;4;2025;;
Garvin Richards; Ousmane Dembélé;5;4;2025;;
Jorge Rolando `; Ousmane Dembélé;5;4;2025;;
Tito Rosales Cox; Ousmane Dembélé;5;4;2025;;
Hady Elmadany; Mohamed Salah ;5;1;2025;;
Josué Valiente; Ousmane Dembélé;5;4;2025;;
John Cross; Ousmane Dembélé;5;4;2025;;
Yolanda Aseco Esono Mangue;  Lamine Yamal ;5;4;2025;;
Michael Seium; Mohamed Salah ;5;4;2025;;
